id,text,labels,group,split,genre_top
blues/blues.00000,A moderate instrumental excerpt at about 123 beats per minute. The timbre is dark and moderately spread across the spectrum. The recording is moderate and moderately percussive. It covers a moderate range of pitch classes.,blues,blues/blues.00000,,blues
blues/blues.00001,A very slow instrumental excerpt at about 68 beats per minute. The timbre is dark and moderately spread across the spectrum. The recording is moderate and smooth. It covers a narrow range of pitch classes.,blues,blues/blues.00001,,blues
blues/blues.00002,A very fast instrumental excerpt at about 161 beats per minute. The timbre is dark and focused across the spectrum. The recording is loud and smooth. It covers a moderate range of pitch classes.,blues,blues/blues.00002,,blues
blues/blues.00003,A very slow instrumental excerpt at about 63 beats per minute. The timbre is very dark and focused across the spectrum. The recording is moderate and very smooth. It covers a moderate range of pitch classes.,blues,blues/blues.00003,,blues
blues/blues.00004,A up-tempo instrumental excerpt at about 136 beats per minute. The timbre is dark and focused across the spectrum. The recording is moderate and moderately percussive. It covers a narrow range of pitch classes.,blues,blues/blues.00004,,blues
blues/blues.00005,A very slow instrumental excerpt at about 70 beats per minute. The timbre is dark and focused across the spectrum. The recording is moderate and moderately percussive. It covers a narrow range of pitch classes.,blues,blues/blues.00005,,blues
blues/blues.00006,A very slow instrumental excerpt at about 72 beats per minute. The timbre is dark and very focused across the spectrum. The recording is moderate and smooth. It covers a narrow range of pitch classes.,blues,blues/blues.00006,,blues
blues/blues.00007,A slow instrumental excerpt at about 92 beats per minute. The timbre is dark and focused across the spectrum. The recording is moderate and smooth. It covers a narrow range of pitch classes.,blues,blues/blues.00007,,blues
blues/blues.00008,A slow instrumental excerpt at about 83 beats per minute. The timbre is dark and moderately spread across the spectrum. The recording is moderate and smooth. It covers a moderate range of pitch classes.,blues,blues/blues.00008,,blues
blues/blues.00009,A slow instrumental excerpt at about 81 beats per minute. The timbre is dark and moderately spread across the spectrum. The recording is quiet and smooth. It covers a very narrow range of pitch classes.,blues,blues/blues.00009,,blues
blues/blues.00010,A very fast instrumental excerpt at about 161 beats per minute. The timbre is dark and focused across the spectrum. The recording is moderate and smooth. It covers a narrow range of pitch classes.,blues,blues/blues.00010,,blues
blues/blues.00011,A very fast instrumental excerpt at about 161 beats per minute. The timbre is very dark and focused across the spectrum. The recording is quiet and very smooth. It covers a moderate range of pitch classes.,blues,blues/blues.00011,,blues
blues/blues.00012,A very fast instrumental excerpt at about 185 beats per minute. The timbre is very dark and focused across the spectrum. The recording is moderate and smooth. It covers a very narrow range of pitch classes.,blues,blues/blues.00012,,blues
blues/blues.00013,A moderate instrumental excerpt at about 108 beats per minute. The timbre is very dark and focused across the spectrum. The recording is moderate and smooth. It covers a very narrow range of pitch classes.,blues,blues/blues.00013,,blues
blues/blues.00014,A very fast instrumental excerpt at about 152 beats per minute. The timbre is very dark and focused across the spectrum. The recording is quiet and very smooth. It covers a narrow range of pitch classes.,blues,blues/blues.00014,,blues
blues/blues.00015,A slow instrumental excerpt at about 99 beats per minute. The timbre is dark and focused across the spectrum. The recording is quiet and smooth. It covers a very narrow range of pitch classes.,blues,blues/blues.00015,,blues
blues/blues.00016,A very fast instrumental excerpt at about 199 beats per minute. The timbre is dark and focused across the spectrum. The recording is quiet and smooth. It covers a narrow range of pitch classes.,blues,blues/blues.00016,,blues
blues/blues.00017,A very fast instrumental excerpt at about 172 beats per minute. The timbre is very dark and very focused across the spectrum. The recording is moderate and very smooth. It covers a narrow range of pitch classes.,blues,blues/blues.00017,,blues
blues/blues.00018,A slow instrumental excerpt at about 83 beats per minute. The timbre is dark and moderately spread across the spectrum. The recording is quiet and smooth. It covers a very narrow range of pitch classes.,blues,blues/blues.00018,,blues
blues/blues.00019,A moderate instrumental excerpt at about 123 beats per minute. The timbre is very dark and very focused across the spectrum. The recording is moderate and smooth. It covers a very narrow range of pitch classes.,blues,blues/blues.00019,,blues
blues/blues.00020,A up-tempo instrumental excerpt at about 136 beats per minute. The timbre is very dark and focused across the spectrum. The recording is quiet and smooth. It covers a narrow range of pitch classes.,blues,blues/blues.00020,,blues
